user_id,retweet_count,retweeted,favorite_count,text,hashtags,mentions,created_at,created_str
813286,0.0,0.0,0.0,Happy #FirstDayofFall. pic.twitter.com/ix02MNuOud,,,1474582723000,2016-09-23 00:18:43
813286,0.0,0.0,0.0,"Another record broken: 16 months in a row of undeniable, record-breaking heat.
 http://ofa.bo/2dabz7s  #ActOnClimate",,,1474646249000,2016-09-23 17:57:29
813286,0.0,0.0,0.0,Stay informed. Stay engaged. Speak up. Join the @OFA Truth Team: http://ofa.bo/2cMYuhR ,,ofa,1474649827000,2016-09-23 18:57:07
813286,0.0,0.0,0.0,Here are 16 broken records we shouldn't be proud of. pic.twitter.com/x98dGgEloW,,,1474653778000,2016-09-23 20:02:58
813286,0.0,0.0,0.0,Watch President Obama and @CEAChair Jason Furman discuss the positive gains the American economy has made.  http://ofa.bo/2ctwCBa ,,ceachair,1474657431000,2016-09-23 21:03:51
813286,0.0,0.0,0.0,"Senate leaders need to work for the good of the American people, not seek out political points. pic.twitter.com/Tdx3xk6gYi",,,1474661148000,2016-09-23 22:05:48
813286,0.0,0.0,0.0,Senate leaders have blocked Judge Garland's hearing for over six months now. Keep pushing:  http://ofa.bo/2cJwSYX  #DoYourJob,,,1474665165000,2016-09-23 23:12:45
813286,0.0,0.0,0.0,The American people are waiting for Senate leaders to do their jobs. pic.twitter.com/LNqAQpxMle,,,1474905333000,2016-09-26 17:55:33
813286,0.0,0.0,0.0,Senate leaders' unprecedented obstruction of the Supreme Court nomination must end. Your voice matters:  http://ofa.bo/2cXrKCL  #DoYourJob,,,1474910821000,2016-09-26 19:27:01
813286,0.0,0.0,0.0,"These are high praises from the American Bar Association—and yet, Senate leaders refuse to even consider Judge Garland. #MerricksMerits pic.twitter.com/tXakoNmYFu",,,1474916345000,2016-09-26 20:59:05
813286,0.0,0.0,0.0,"Important, tough conversations require solid facts. Get them from the @OFA Truth Team:  http://ofa.bo/2cY11WE  pic.twitter.com/dD1EPgaA9W",,ofa,1474923513000,2016-09-26 22:58:33
813286,0.0,0.0,0.0,Senate leaders have blocked Judge Garland's hearing for over six months now. Keep pushing:  http://ofa.bo/2d6yD5J  #DoYourJob,,,1474990119000,2016-09-27 17:28:39
813286,0.0,0.0,0.0,"As long as Senate leaders keep refusing to do their jobs, @OFA supporters will continue speaking out against their obstruction. #DoYourJob pic.twitter.com/xrz67jh1HV",,ofa,1474995428000,2016-09-27 18:57:08
813286,0.0,0.0,0.0,"Household incomes are up, and the poverty rate is down across all demographics.  http://ofa.bo/2d1pZV0 ",,,1475005335000,2016-09-27 21:42:15
813286,0.0,0.0,0.0,We're better off than we were eight years ago. pic.twitter.com/OwrTM3V78t,,,1475010241000,2016-09-27 23:04:01
813286,0.0,0.0,0.0,"This is no accident—we're making a comeback because together, we've fought hard to support American families. pic.twitter.com/LTk7SiTexP",,,1475075774000,2016-09-28 17:16:14
813286,0.0,0.0,0.0,The @OFA Truth Team makes it easy to stay informed. Join today: http://ofa.bo/2d4UB8e ,,ofa,1475084985000,2016-09-28 19:49:45
