user_id,retweet_count,retweeted,favorite_count,text,hashtags,mentions,created_at,created_str
44196397,0.0,0.0,0.0,"Hopefully, in March. Checking …",,"j_brorsson,teslarati",1582701816000,2020-02-26 08:23:36
44196397,0.0,0.0,0.0,Posting SpaceX videos is definitely not copyright infringement!,,"janeidyeve,jakethehuman28,tesla_truth,twitter",1582735939000,2020-02-26 17:52:19
44196397,0.0,0.0,0.0,Sure,,"erdayastronaut,janeidyeve,jakethehuman28,tesla_truth,twitter",1582737617000,2020-02-26 18:20:17
44196397,0.0,0.0,0.0,Definitely! What’s in that sky city thing!?  Needs a prequel even more than a sequel.,,foxfire40900590,1582742539000,2020-02-26 19:42:19
44196397,0.0,0.0,0.0,It’s not mine,,newscientist,1582745128000,2020-02-26 20:25:28
44196397,0.0,0.0,0.0,Testing Raptor in vertical configuration (on the giant tripod) should allow us to simplify some aspects of the engine design,,spacex,1582832708000,2020-02-27 20:45:08
44196397,0.0,0.0,0.0,It’s not that big really,,teslarati,1582841628000,2020-02-27 23:13:48
44196397,0.0,0.0,0.0,"The competitor should be a drone fighter plane that’s remote controlled by a human, but with its maneuvers augmented by autonomy. The F-35 would have no chance against it.",,"leehudson_,lockheedmartin",1582919189000,2020-02-28 20:46:29
44196397,0.0,0.0,0.0,I just sent a note to Twitter to clarify that posting SpaceX videos is fine by us and we paid for rights to Bowie song for the Falcon Heavy launch,,"universe_skyart,twittersupport",1582928254000,2020-02-28 23:17:34
44196397,0.0,0.0,0.0,👀,,realemirhan,1583122604000,2020-03-02 05:16:44
44196397,0.0,0.0,0.0,"We need to finish work on Autopilot core foundation code & 3D labelling, then functionality will happen quickly. Not long now.",,"annerajb,realemirhan",1583122908000,2020-03-02 05:21:48
44196397,0.0,0.0,0.0,"Yes, dramatically improved imo",,"annerajb,realemirhan",1583123004000,2020-03-02 05:23:24
44196397,0.0,0.0,0.0,So … how was your night? https://m.youtube.com/watch?feature=youtu.be&v=sYeVnGL7fgw …,,,1583137935000,2020-03-02 09:32:15
44196397,0.0,0.0,0.0,"It’s fine, we’ll just buff it out",,,1583138025000,2020-03-02 09:33:45
44196397,0.0,0.0,0.0,Where’s Flextape when you need it!?,,,1583138339000,2020-03-02 09:38:59
44196397,0.0,0.0,0.0,There’s a puck at the base that takes the engine thrust load. Don’t shuck the puck!,,janeidyeve,1583138440000,2020-03-02 09:40:40
44196397,0.0,0.0,0.0,"We’re stripping SN2 to bare minimum to test the thrust puck to dome weld under pressure, first with water, then at cryo. Hopefully, ready to test in a few days.",,"flcnhvy,janeidyeve",1583138974000,2020-03-02 09:49:34
44196397,0.0,0.0,0.0, pic.twitter.com/Yt0zkj1R5j,,,1583139586000,2020-03-02 09:59:46
44196397,0.0,0.0,0.0,Definitely,,vincent13031925,1583139997000,2020-03-02 10:06:37
44196397,0.0,0.0,0.0,Just want say that I support @Jack as Twitter CEO. He has a good ❤️.,,jack,1583198474000,2020-03-03 02:21:14
44196397,0.0,0.0,0.0,This is vital,,"erdayastronaut,jack",1583198708000,2020-03-03 02:25:08
44196397,0.0,0.0,0.0,Track mode V2 is pretty cool. Maybe too complicated to use though? Lmk thoughts for improvement.,,techau,1583199080000,2020-03-03 02:31:20
44196397,0.0,0.0,0.0,✌️ bro pic.twitter.com/nJ7CUyhr2j,,,1583203545000,2020-03-03 03:45:45
44196397,0.0,0.0,0.0,Dogs rock pic.twitter.com/vLJGyZo5Sx,,,1583225213000,2020-03-03 09:46:53
44196397,0.0,0.0,0.0,They have the best coin,,,1583225366000,2020-03-03 09:49:26
