_index,_type,_id,_score,_source.id,_source.twittos_a,_source.interaction,_source.twittos_b,_source.source
"twitter_interaction","_doc","12434909827814277201719941928785486","1","12434909827814277201719941928785486","17199419","converse","28785486","1243490982781427720"
"twitter_interaction","_doc","12434909768087429131882760912881099587","1","12434909768087429131882760912881099587","188276091","converse","2881099587","1243490976808742913"
"twitter_interaction","_doc","124349097680874291318827609140839292","1","124349097680874291318827609140839292","188276091","converse","40839292","1243490976808742913"
"twitter_interaction","_doc","12434909758943764487033918157775708182365582562","1","12434909758943764487033918157775708182365582562","703391815777570818","converse","2365582562","1243490975894376448"
"twitter_interaction","_doc","124349097498425753724367996914499829","1","124349097498425753724367996914499829","243679969","converse","14499829","1243490974984257537"
"twitter_interaction","_doc","124349096462436352094401960102071743","1","124349096462436352094401960102071743","94401960","converse","102071743","1243490964624363520"
"twitter_interaction","_doc","12434985839886049281034955895124447232211985056","1","12434985839886049281034955895124447232211985056","1034955895124447232","converse","211985056","1243498583988604928"
"twitter_interaction","_doc","12434985837368811531239958320393277440803847306797793280","1","12434985837368811531239958320393277440803847306797793280","1239958320393277440","converse","803847306797793280","1243498583736881153"
"twitter_interaction","_doc","124349858373688115312399583203932774401062956524430012416","1","124349858373688115312399583203932774401062956524430012416","1239958320393277440","converse","1062956524430012416","1243498583736881153"
"twitter_interaction","_doc","1243498581073334272728025157798760066723680256","1","1243498581073334272728025157798760066723680256","728025157","converse","798760066723680256","1243498581073334272"
"twitter_interaction","_doc","1243205652119531520281662816221645304","1","1243205652119531520281662816221645304","2816628162","converse","21645304","1243498576677949440"
"twitter_interaction","_doc","124349857410264678518849169523131144855","1","124349857410264678518849169523131144855","1884916952","converse","3131144855","1243498574102646785"
"twitter_interaction","_doc","1243488439019937792266066345329780969","1","1243488439019937792266066345329780969","266066345","converse","329780969","1243498576484990978"
"twitter_interaction","_doc","124348843901993779226606634522059388","1","124348843901993779226606634522059388","266066345","converse","22059388","1243498576484990978"
"twitter_interaction","_doc","12434985781669109764225588253131144855","1","12434985781669109764225588253131144855","422558825","converse","3131144855","1243498578166910976"
"twitter_interaction","_doc","124349857816691097642255882518839785","1","124349857816691097642255882518839785","422558825","converse","18839785","1243498578166910976"
"twitter_interaction","_doc","1243498578166910976422558825471741741","1","1243498578166910976422558825471741741","422558825","converse","471741741","1243498578166910976"
"twitter_interaction","_doc","12434985781669109764225588251447949844","1","12434985781669109764225588251447949844","422558825","converse","1447949844","1243498578166910976"
"twitter_interaction","_doc","124349857229905920022107253413941562","1","124349857229905920022107253413941562","221072534","converse","13941562","1243498572299059200"
"twitter_interaction","_doc","124349760414883840018186050405427035","1","124349760414883840018186050405427035","18186050","converse","405427035","1243498570851860480"
"twitter_interaction","_doc","1243498570805841925789902387758718976856688659","1","1243498570805841925789902387758718976856688659","789902387758718976","converse","856688659","1243498570805841925"
"twitter_interaction","_doc","124349857080584192578990238775871897617481977","1","124349857080584192578990238775871897617481977","789902387758718976","converse","17481977","1243498570805841925"
