_index,_type,_id,_score,_source.id,_source.twittos_a,_source.interaction,_source.twittos_b,_source.source
"twitter_interaction","_doc","1238147745593970688744306004582612992500989115","1","1238147745593970688744306004582612992500989115","500989115","retweet","744306004582612992","1238147745593970688"
"twitter_interaction","_doc","12378155570319646755009891151213783872099373057","1","12378155570319646755009891151213783872099373057","500989115","converse","1213783872099373057","1237815557031964675"
"twitter_interaction","_doc","1238416716817936386500989115","1","1238416716817936386500989115","1238416716817936386","follow","500989115",""
"twitter_interaction","_doc","1235282853409280000500989115","1","1235282853409280000500989115","1235282853409280000","follow","500989115",""
"twitter_interaction","_doc","5009891151213783872099373057","1","5009891151213783872099373057","500989115","follow","1213783872099373057",""
"twitter_interaction","_doc","500989115779767342934941696","1","500989115779767342934941696","500989115","follow","779767342934941696",""
"twitter_interaction","_doc","50784060578441082238543","1","50784060578441082238543","84410822","converse","38543","5078406057"
"twitter_interaction","_doc","50783468278441082214730343","1","50783468278441082214730343","84410822","converse","14730343","5078346827"
"twitter_interaction","_doc","50782002338441082214730343","1","50782002338441082214730343","84410822","converse","14730343","5078200233"
"twitter_interaction","_doc","50781374828441082214730343","1","50781374828441082214730343","84410822","converse","14730343","5078137482"
"twitter_interaction","_doc","97211313817379635284410822","1","97211313817379635284410822","972113138173796352","follow","84410822",""
"twitter_interaction","_doc","109152909284410822","1","109152909284410822","1091529092","follow","84410822",""
"twitter_interaction","_doc","12384430477022003265791717094889921675","1","12384430477022003265791717094889921675","4889921675","retweet","579171709","1238443047702200326"
"twitter_interaction","_doc","12344160477778862107884830082360320004889921675","1","12344160477778862107884830082360320004889921675","4889921675","retweet","788483008236032000","1234416047777886210"
"twitter_interaction","_doc","12113072489344122895791717094889921675","1","12113072489344122895791717094889921675","4889921675","retweet","579171709","1211307248934412289"
"twitter_interaction","_doc","11976124444719595585791717094889921675","1","11976124444719595585791717094889921675","4889921675","retweet","579171709","1197612444471959558"
"twitter_interaction","_doc","1197612444471959558579171709819538307822583808","1","1197612444471959558579171709819538307822583808","579171709","converse","819538307822583808","1197612444471959558"
"twitter_interaction","_doc","11533427281571840025009891154889921675","1","11533427281571840025009891154889921675","4889921675","retweet","500989115","1153342728157184002"
"twitter_interaction","_doc","115118461265318297911133693357944791064889921675","1","115118461265318297911133693357944791064889921675","4889921675","retweet","1113369335794479106","1151184612653182979"
"twitter_interaction","_doc","58175887155888425","1","58175887155888425","58175887","follow","155888425",""
"twitter_interaction","_doc","1558884252176983931","1","1558884252176983931","155888425","follow","2176983931",""
